class,image_path,name,xmax,xmin,ymax,ymin
3,4a48c42c9579ec0399e6c5a3e825e765.jpg,GARBAGE,797,701,262,211
3,4a48c42c9579ec0399e6c5a3e825e765.jpg,GARBAGE,932,786,329,238
3,4a48c42c9579ec0399e6c5a3e825e765.jpg,GARBAGE,736,657,275,229
7,ea906a663da6321bcef78be4b7d1afff.jpg,BAD_BILLBOARD,986,786,136,0
8,1c7d48005a12d1b19261b8e71df7cafe.jpg,SAND_ON_ROAD,667,549,228,179
8,1c7d48005a12d1b19261b8e71df7cafe.jpg,SAND_ON_ROAD,799,628,238,176
8,8ca1b825716ea6755180fde347ac79c1.jpg,SAND_ON_ROAD,532,434,196,147
0,8ca1b825716ea6755180fde347ac79c1.jpg,GRAFFITI,549,471,177,131
0,8ca1b825716ea6755180fde347ac79c1.jpg,GRAFFITI,667,565,182,123
2,e1f3026bc4b1689d81f03e92e9043c2b.jpg,POTHOLES,841,640,408,284
3,c12b006174423ceb3e2e3563a8ca7751.jpg,GARBAGE,598,468,557,487
3,7fb40d10dde6d5643aa8e197b6b46c2e.jpg,GARBAGE,851,691,224,157
3,7fb40d10dde6d5643aa8e197b6b46c2e.jpg,GARBAGE,665,616,220,163
3,f05cd6411a3509a5ddc9d9a52536df01.jpg,GARBAGE,924,814,266,180
2,f05cd6411a3509a5ddc9d9a52536df01.jpg,POTHOLES,367,198,299,240
3,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,250,72,338,248
3,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,105,-21,336,256
3,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,320,186,338,255
3,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,441,324,337,260
3,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,515,400,330,265
3,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,699,614,332,269
9,467758955ec29fa2475ef6887c29b751.jpg,CLUTTER_SIDEWALK,495,111,312,202
9,467758955ec29fa2475ef6887c29b751.jpg,CLUTTER_SIDEWALK,943,386,335,199
7,9d100eb428edef6626df335ebf4a9def.jpg,BAD_BILLBOARD,938,723,168,34
9,6d75b772e8a8857fc8b1151c3cbe2f99.jpg,CLUTTER_SIDEWALK,465,0,398,312
9,6d75b772e8a8857fc8b1151c3cbe2f99.jpg,CLUTTER_SIDEWALK,669,306,369,310
9,6d75b772e8a8857fc8b1151c3cbe2f99.jpg,CLUTTER_SIDEWALK,980,544,390,294
3,8b4f8d79a3cc1144cab8f88a478e171b.jpg,GARBAGE,696,467,326,215
3,8b4f8d79a3cc1144cab8f88a478e171b.jpg,GARBAGE,521,412,441,368
4,cbc51ac48e7d68a22d17837af794cffa.jpg,CONSTRUCTION_ROAD,537,-40,452,162
4,cbc51ac48e7d68a22d17837af794cffa.jpg,CONSTRUCTION_ROAD,1060,282,437,187
8,ee3c87485169dbd1a19e5911e67390f6.jpg,SAND_ON_ROAD,568,479,224,166
3,ee3c87485169dbd1a19e5911e67390f6.jpg,GARBAGE,684,575,293,220
3,ee3c87485169dbd1a19e5911e67390f6.jpg,GARBAGE,95,34,229,191
2,f6e45cdb24e1bfc3214308ff1ddd2de2.jpg,POTHOLES,645,412,589,323
2,f6e45cdb24e1bfc3214308ff1ddd2de2.jpg,POTHOLES,782,583,569,338
0,beb51ff57e6429ea85c715e5b381deeb.jpg,GRAFFITI,996,768,190,32
3,beb51ff57e6429ea85c715e5b381deeb.jpg,GARBAGE,396,306,376,310
5,9ec0107501b37091e28853fafd3bec87.jpg,BROKEN_SIGNAGE,683,566,289,209
2,3fe43374bd1816998ad96704da640c60.jpg,POTHOLES,898,379,526,312
2,3fe43374bd1816998ad96704da640c60.jpg,POTHOLES,231,-53,575,382
2,3fe43374bd1816998ad96704da640c60.jpg,POTHOLES,322,155,540,450
4,bc2e9e57a48ebccec901fb8a3822a1eb.jpg,CONSTRUCTION_ROAD,1027,595,351,122
4,bc2e9e57a48ebccec901fb8a3822a1eb.jpg,CONSTRUCTION_ROAD,143,-40,307,103
7,bc2e9e57a48ebccec901fb8a3822a1eb.jpg,BAD_BILLBOARD,722,615,181,137
7,bc2e9e57a48ebccec901fb8a3822a1eb.jpg,BAD_BILLBOARD,672,543,188,134
3,df61a2072657c6babd6d3f68cffbdf2e.jpg,GARBAGE,900,813,260,193
0,df61a2072657c6babd6d3f68cffbdf2e.jpg,GRAFFITI,965,825,242,164
3,df61a2072657c6babd6d3f68cffbdf2e.jpg,GARBAGE,834,755,269,211
3,f0e0bd29cb5c035d5bd0dad5d1dc6f49.jpg,GARBAGE,519,467,224,165
3,74819fbb61d24c7e3887885c5f07d8db.jpg,GARBAGE,326,262,312,266
3,74819fbb61d24c7e3887885c5f07d8db.jpg,GARBAGE,745,662,422,376
3,4218ea76033c0d0612ba5d68bdcacaa7.jpg,GARBAGE,839,643,260,196
3,4218ea76033c0d0612ba5d68bdcacaa7.jpg,GARBAGE,726,563,255,198
3,4218ea76033c0d0612ba5d68bdcacaa7.jpg,GARBAGE,596,518,249,195
0,4218ea76033c0d0612ba5d68bdcacaa7.jpg,GRAFFITI,730,520,234,144
3,bd12de2d2c008b2c5f16f3c16af1b5a1.jpg,GARBAGE,437,390,240,196
3,bd12de2d2c008b2c5f16f3c16af1b5a1.jpg,GARBAGE,299,219,281,217
9,782429d6375c7e7b9a6875d6c1528c1a.jpg,CLUTTER_SIDEWALK,333,115,239,156
9,782429d6375c7e7b9a6875d6c1528c1a.jpg,CLUTTER_SIDEWALK,755,523,260,168
4,1b39cbe0913f552cefe1c254991720b1.jpg,CONSTRUCTION_ROAD,625,-117,499,150
4,1b39cbe0913f552cefe1c254991720b1.jpg,CONSTRUCTION_ROAD,1037,360,582,79
7,a33a221e5394da9294b9b3a6c815608b.jpg,BAD_BILLBOARD,340,136,256,151
3,e0691951be7371f43c3aa4bf7d684f7d.jpg,GARBAGE,818,706,399,333
3,e0691951be7371f43c3aa4bf7d684f7d.jpg,GARBAGE,736,636,372,257
3,e0691951be7371f43c3aa4bf7d684f7d.jpg,GARBAGE,689,529,393,303
7,abeec3825d4a59a2404492d1f8095732.jpg,BAD_BILLBOARD,782,595,184,94
7,abeec3825d4a59a2404492d1f8095732.jpg,BAD_BILLBOARD,921,793,188,97
7,abeec3825d4a59a2404492d1f8095732.jpg,BAD_BILLBOARD,669,564,178,115
7,abeec3825d4a59a2404492d1f8095732.jpg,BAD_BILLBOARD,664,572,218,151
9,b3cc08ddf4d48858afba0750bc68d33e.jpg,CLUTTER_SIDEWALK,461,257,269,194
9,b3cc08ddf4d48858afba0750bc68d33e.jpg,CLUTTER_SIDEWALK,348,96,322,213
9,b3cc08ddf4d48858afba0750bc68d33e.jpg,CLUTTER_SIDEWALK,201,7,367,238
9,61b9703264d680a9675a6e9c93843690.jpg,CLUTTER_SIDEWALK,269,108,246,184
9,61b9703264d680a9675a6e9c93843690.jpg,CLUTTER_SIDEWALK,174,-21,282,179
3,d031ed0dd9382f2c8237cafbabeaac66.jpg,GARBAGE,165,82,397,316
0,b079df7a0c498c361028fc7e97e31034.jpg,GRAFFITI,714,626,240,153
0,f60f46f4ad0735d5ea79a9e0d91cfb39.jpg,GRAFFITI,468,350,185,119
0,f60f46f4ad0735d5ea79a9e0d91cfb39.jpg,GRAFFITI,513,427,175,123
0,f60f46f4ad0735d5ea79a9e0d91cfb39.jpg,GRAFFITI,586,501,176,110
3,cd64144b5f4950113e887fa74c1c7d24.jpg,GARBAGE,685,615,255,216
3,cd64144b5f4950113e887fa74c1c7d24.jpg,GARBAGE,749,687,332,273
3,cd64144b5f4950113e887fa74c1c7d24.jpg,GARBAGE,746,690,266,217
3,ca43bf28ce699b15ffbf89b69a89f3ef.jpg,GARBAGE,669,353,204,154
3,259d85cc9b38d649c8fd2d1a8aca1c16.jpg,GARBAGE,285,225,255,211
0,e36ea4d90a6c3275af7393b209a47ac1.jpg,GRAFFITI,987,787,205,131
3,55d207b4843a5d0334dd3c8bbe4fe616.jpg,GARBAGE,682,511,235,125
3,55d207b4843a5d0334dd3c8bbe4fe616.jpg,GARBAGE,527,415,229,136
3,55d207b4843a5d0334dd3c8bbe4fe616.jpg,GARBAGE,418,308,204,127
3,55d207b4843a5d0334dd3c8bbe4fe616.jpg,GARBAGE,252,143,221,121
2,55d207b4843a5d0334dd3c8bbe4fe616.jpg,POTHOLES,755,320,567,315
2,55d207b4843a5d0334dd3c8bbe4fe616.jpg,POTHOLES,425,3,531,294
2,55d207b4843a5d0334dd3c8bbe4fe616.jpg,POTHOLES,465,310,483,311
2,55d207b4843a5d0334dd3c8bbe4fe616.jpg,POTHOLES,786,566,570,368
3,e7c44d1cb8519bcba132223b90e73bf8.jpg,GARBAGE,478,401,285,221
3,e7c44d1cb8519bcba132223b90e73bf8.jpg,GARBAGE,116,70,453,407
3,acfd67a6c4fa0e79b1df6f812e194b48.jpg,GARBAGE,119,50,376,310
3,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,538,398,351,277
3,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,401,347,353,303
3,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,152,98,172,116
3,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,72,-13,172,105
3,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,416,338,212,174
4,382632315c7400b3ae1eed539a23e892.jpg,CONSTRUCTION_ROAD,458,367,241,173
4,382632315c7400b3ae1eed539a23e892.jpg,CONSTRUCTION_ROAD,348,-79,345,56
3,bedd90aa6c2e7f81cab0e6f7a3e415df.jpg,GARBAGE,160,85,293,232
3,bedd90aa6c2e7f81cab0e6f7a3e415df.jpg,GARBAGE,196,133,285,223
4,63352e0656131f18bf32a8198d265bc5.jpg,CONSTRUCTION_ROAD,507,8,359,164
4,63352e0656131f18bf32a8198d265bc5.jpg,CONSTRUCTION_ROAD,987,569,321,172
2,82316aaeafc6a37767657489875238b4.jpg,POTHOLES,356,45,501,346
2,82316aaeafc6a37767657489875238b4.jpg,POTHOLES,758,393,560,375
3,82316aaeafc6a37767657489875238b4.jpg,GARBAGE,608,472,536,419
2,91cdd59f70c6439fe7d5971effd124a7.jpg,POTHOLES,326,43,472,301
7,91cdd59f70c6439fe7d5971effd124a7.jpg,BAD_BILLBOARD,841,770,201,136
7,91cdd59f70c6439fe7d5971effd124a7.jpg,BAD_BILLBOARD,628,579,213,176
7,f677bc005c07a7f193aeb6b4446d8c62.jpg,BAD_BILLBOARD,555,399,228,159
2,4ff403c16bbb59d06815210cd5359333.jpg,POTHOLES,346,152,265,181
4,35426050b5eb788be2aee8bccf30a7b8.jpg,CONSTRUCTION_ROAD,1318,-326,592,101
2,69f337b812a9fd61825b6d91c7bb3a07.jpg,POTHOLES,857,628,453,269
2,69f337b812a9fd61825b6d91c7bb3a07.jpg,POTHOLES,680,517,491,318
9,5c83c39501259cf1f2e092f165f306f8.jpg,CLUTTER_SIDEWALK,408,178,238,166
9,5c83c39501259cf1f2e092f165f306f8.jpg,CLUTTER_SIDEWALK,516,332,246,164
0,38e6551fd3fc84bba6248723aa3a0744.jpg,GRAFFITI,378,265,296,231
3,9d607798d2d4c0806f7fa9ab9dc6491b.jpg,GARBAGE,361,313,174,145
7,9d607798d2d4c0806f7fa9ab9dc6491b.jpg,BAD_BILLBOARD,708,511,182,67
7,9d607798d2d4c0806f7fa9ab9dc6491b.jpg,BAD_BILLBOARD,812,638,175,83
